date,services,abbrev,time,filename_each,streetlevel_airtemp_c,turnstile_level_airtemp_c
071724,45,BG,A,"FLIR07172445BGA01, FLIR07172445BGA02, FLIR07172445BGA03, FLIR07172445BGA04, FLIR07172445BGA05, FLIR07172445BGA06, FLIR07172445BGA07",33.7,
072424,45,BG,A,"FLIR07242445BGA01, FLIR07242445BGA02, FLIR07242445BGA03, FLIR07242445BGA04",32.8,
072524,45,BG,A,"FLIR07252445BGA01, FLIR07252445BGA02, FLIR07252445BGA03, FLIR07252445BGA04, FLIR07252445BGA05",32.9,
071124,45,BG,A,"FLIR07112445BGA01, FLIR07112445BGA02, FLIR07112445BGA03",31.8,
072924,45,BG,A,"FLIR07292445BGA01, FLIR07292445BGA02",31.2,32.5
073024,45,BG,A,"FLIR07302445BGA01, FLIR07302445BGA02, FLIR07302445BGA03",31.7,31.8
073124,45,BG,A,"FLIR07312445BGA01, FLIR07312445BGA02, FLIR07312445BGA03",32.6,
080124,45,BG,A,"FLIR08012445BGA01, FLIR08012445BGA02, FLIR08012445BGA03",32.9,32.9
070824,456,42,A,"FLIR07082445642A01, FLIR07082445642A02, FLIR07082445642A03, FLIR07082445642A04, FLIR07082445642A05, FLIR07082445642A06",32.7,
070824,456,14,A,"FLIR07082445614A01, FLIR07082445614A02, FLIR07082445614A03, FLIR07082445614A04, FLIR07082445614A05",33.4,
070924,456,42,A,"FLIR07092445642A01, FLIR07092445642A02, FLIR07092445642A03",32.4,
070924,456,14,A,"FLIR07092445614A01, FLIR07092445614A02, FLIR07092445614A03, FLIR07092445614A04, FLIR07092445614A05",33.7,
071024,456,42,A,"FLIR07102445642A01, FLIR07102445642A02, FLIR07102445642A03, FLIR07102445642A04, FLIR07102445642A05, FLIR07102445642A06",32.6,
071024,456,14,A,"FLIR07102445614A01, FLIR07102445614A02, FLIR07102445614A03, FLIR07102445614A04, FLIR07102445614A05",34.6,
071524,456,42,A,"FLIR07152445642A01, FLIR07152445642A02, FLIR07152445642A03, FLIR07152445642A04, FLIR07152445642A05, FLIR07152445642A06",31.8,
071524,456,14,A,"FLIR07152445614A01, FLIR07152445614A02, FLIR07152445614A03, FLIR07152445614A04, FLIR07152445614A05, FLIR07152445614A06",33.1,
071624,456,42,A,"FLIR07162445642A01, FLIR07162445642A02, FLIR07162445642A03, FLIR07162445642A04, FLIR07162445642A05, FLIR07162445642A06, FLIR07162445642A07",32.5,
071624,456,14,A,"FLIR07162445614A01, FLIR07162445614A02, FLIR07162445614A03, FLIR07162445614A04, FLIR07162445614A05, FLIR07162445614A06",34.1,
071724,456,42,A,"FLIR07172445642A01, FLIR07172445642A02, FLIR07172445642A03, FLIR07172445642A04, FLIR07172445642A05, FLIR07172445642A06, FLIR07172445642A07, FLIR07172445642A08",32.6,
071724,456,14,A,"FLIR07172445614A01, FLIR07172445614A02, FLIR07172445614A03, FLIR07172445614A04",33.9,
072224,456,42,A,"FLIR07222445642A01, FLIR07222445642A02, FLIR07222445642A03, FLIR07222445642A04, FLIR07222445642A05, FLIR07222445642A06, FLIR07222445642A07",32.4,
072224,456,14,A,"FLIR07222445614A01, FLIR07222445614A02, FLIR07222445614A03, FLIR07222445614A04, FLIR07222445614A05, FLIR07222445614A06, FLIR07222445614A07, FLIR07222445614A08",34.1,
072424,456,42,A,"FLIR07242445642A01, FLIR07242445642A02, FLIR07242445642A03, FLIR07242445642A04, FLIR07242445642A05",32.2,
072424,456,14,A,"FLIR07242445614A01, FLIR07242445614A02, FLIR07242445614A03, FLIR07242445614A04, FLIR07242445614A05, FLIR07242445614A06",31.4,
072524,456,42,A,"FLIR07252445642A01, FLIR07252445642A02, FLIR07252445642A03, FLIR07252445642A04",31.7,
072524,456,14,A,"FLIR07252445614A01, FLIR07252445614A02, FLIR07252445614A03, FLIR07252445614A04",32.8,
071124,456,42,M,"FLIR07112445642M01, FLIR07112445642M02, FLIR07112445642M03, FLIR07112445642M04",32.4,32.6
071124,456,14,M,"FLIR07112445614M01, FLIR07112445614M02, FLIR07112445614M03, FLIR07112445614M04",34.2,36.8
072924,456,42,A,"FLIR07292445642A01, FLIR07292445642A02, FLIR07292445642A03",30.3,32.2
072924,456,14,A,"FLIR07292445614A01, FLIR07292445614A02, FLIR07292445614A03",31.6,32.4
073024,456,42,A,"FLIR07302445642A01, FLIR07302445642A02, FLIR07302445642A03",31.0,32.2
073024,456,14,A,"FLIR07302445614A01, FLIR07302445614A02, FLIR07302445614A03",33.8,37.3
073124,456,42,A,"FLIR07312445642A01, FLIR07312445642A02, FLIR07312445642A03",31.6,32.3
073124,456,14,A,"FLIR07312445614A01, FLIR07312445614A02, FLIR07312445614A03, FLIR07312445614A04, FLIR07312445614A05",34.1,35.9
080124,456,42,A,"FLIR08012445642A01, FLIR08012445642A02, FLIR08012445642A03",32.7,31.7
080124,456,14,A,"FLIR08012445614A01, FLIR08012445614A02, FLIR08012445614A03, FLIR08012445614A04",33.9,35.1
070224,BD,205,A,"FLIR070224BD205A01, FLIR070224BD205A02, FLIR070224BD205A03",28.9,
070224,BD,161,A,"FLIR070224BD161A01, FLIR070224BD161A02, FLIR070224BD161A03, FLIR070224BD161A04",29.4,
070224,BD,205,A,"FLIR070224BD205A01, FLIR070224BD205A02, FLIR070224BD205A03",28.8,
070224,BD,161,A,"FLIR070224BD161A01, FLIR070224BD161A02, FLIR070224BD161A03",30.1,
070324,BD,205,M,"FLIR070324BD205M01, FLIR070324BD205M02, FLIR070324BD205M03, FLIR070324BD205M04",26.8,
070324,BD,161,M,"FLIR070324BD161M01, FLIR070324BD161M02, FLIR070324BD161M03, FLIR070324BD161M04, FLIR070324BD161M05",29.2,
070324,BD,205,A,"FLIR070324BD205A01, FLIR070324BD205A02, FLIR070324BD205A03, FLIR070324BD205A04",28.2,
070324,BD,BPB,A,"FLIR070324BDBPBA01, FLIR070324BDBPBA02, FLIR070324BDBPBA03",28.6,
070324,BD,KR,A,"FLIR070324BDKRA01, FLIR070324BDKRA02, FLIR070324BDKRA03, FLIR070324BDKRA04",28.9,
070324,BD,FR,A,"FLIR070324BDFRA01, FLIR070324BDFRA02, FLIR070324BDFRA03, FLIR070324BDFRA04",28.2,
070324,BD,182,A,"FLIR070324BD182A01, FLIR070324BD182A02, FLIR070324BD182A03",28.7,
070324,BD,TA,A,"FLIR070324BDTAA01, FLIR070324BDTAA02, FLIR070324BDTAA03",27.4,
070324,BD,174,A,"FLIR070324BD174A01, FLIR070324BD174A02, FLIR070324BD174A03",29.1,
070324,BD,170,A,"FLIR070324BD170A01, FLIR070324BD170A02, FLIR070324BD170A03",28.1,
070324,BD,167,A,"FLIR070324BD167A01, FLIR070324BD167A02, FLIR070324BD167A03, FLIR070324BD167A04",28.3,
070324,BD,161,A,"FLIR070324BD161A01, FLIR070324BD161A02, FLIR070324BD161A03, FLIR070324BD161A04, FLIR070324BD161A05, FLIR070324BD161A06, FLIR070324BD161A07",28.6,
070924,BD,205,M,"FLIR070924BD205M01, FLIR070924BD205M02, FLIR070924BD205M03, FLIR070924BD205M04",29.9,
070924,BD,BPB,M,"FLIR070924BDBPBM01, FLIR070924BDBPBM02, FLIR070924BDBPBM03",29.6,
070924,BD,KR,M,"FLIR070924BDKRM01, FLIR070924BDKRM02",30.2,
070924,BD,FR,M,"FLIR070924BDFRM01, FLIR070924BDFRM02, FLIR070924BDFRM03",31.4,
070924,BD,182,M,"FLIR070924BD182M01, FLIR070924BD182M02",30.9,
070924,BD,TA,M,"FLIR070924BDTAM01, FLIR070924BDTAM02",30.3,
070924,BD,174,M,"FLIR070924BD174M01, FLIR070924BD174M02, FLIR070924BD174M03",30.4,
070924,BD,170,M,"FLIR070924BD170M01, FLIR070924BD170M02",30.7,
070924,BD,167,M,"FLIR070924BD167M01, FLIR070924BD167M02",30.9,
070924,BD,161,M,"FLIR070924BD161M01, FLIR070924BD161M02",30.6,
070924,BD,205,M,"FLIR070924BD205M01, FLIR070924BD205M02, FLIR070924BD205M03",32.1,
070924,BD,BPB,M,"FLIR070924BDBPBM01, FLIR070924BDBPBM02, FLIR070924BDBPBM03",31.4,
070924,BD,KR,A,"FLIR070924BDKRA01, FLIR070924BDKRA02, FLIR070924BDKRA03",29.8,
070924,BD,FR,A,"FLIR070924BDFRA01, FLIR070924BDFRA02, FLIR070924BDFRA03, FLIR070924BDFRA04, FLIR070924BDFRA05, FLIR070924BDFRA06, FLIR070924BDFRA07, FLIR070924BDFRA08",29.9,
070924,BD,182,A,"FLIR070924BD182A01, FLIR070924BD182A02",30.7,
070924,BD,TA,A,"FLIR070924BDTAA01, FLIR070924BDTAA02, FLIR070924BDTAA03",31.4,
070924,BD,174,A,"FLIR070924BD174A01, FLIR070924BD174A02",31.3,
070924,BD,170,A,"FLIR070924BD170A01, FLIR070924BD170A02, FLIR070924BD170A03",31.9,
070924,BD,167,A,"FLIR070924BD167A01, FLIR070924BD167A02",32.3,
070924,BD,161,A,"FLIR070924BD161A01, FLIR070924BD161A02, FLIR070924BD161A03",30.6,
071024,BD,205,M,"FLIR071024BD205M01, FLIR071024BD205M02, FLIR071024BD205M03",29.8,
071024,BD,BPB,M,"FLIR071024BDBPBM01, FLIR071024BDBPBM02",29.8,
071024,BD,KR,M,"FLIR071024BDKRM01, FLIR071024BDKRM02, FLIR071024BDKRM03",30.5,
071024,BD,FR,M,"FLIR071024BDFRM01, FLIR071024BDFRM02",32.3,
071024,BD,182,M,"FLIR071024BD182M01, FLIR071024BD182M02",31.2,
071024,BD,TA,M,"FLIR071024BDTAM01, FLIR071024BDTAM02, FLIR071024BDTAM03",31.1,
071024,BD,174,M,"FLIR071024BD174M01, FLIR071024BD174M02",31.8,
071024,BD,170,M,"FLIR071024BD170M01, FLIR071024BD170M02",31.8,
071024,BD,167,M,"FLIR071024BD167M01, FLIR071024BD167M02",29.4,
071024,BD,161,M,"FLIR071024BD161M01, FLIR071024BD161M02",30.1,
071024,BD,205,M,"FLIR071024BD205M01, FLIR071024BD205M02, FLIR071024BD205M03, FLIR071024BD205M04",30.3,
071024,BD,BPB,M,"FLIR071024BDBPBM01, FLIR071024BDBPBM02",31.1,
071024,BD,KR,A,"FLIR071024BDKRA01, FLIR071024BDKRA02",32.4,
